match_id,home_team,away_team,score_90min,stage,match_date,is_extra_time,is_penalty,source,source_priority,source_url,confidence
M-1930-01,France,Mexico,4-1,group stage,1930-07-13 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1930-02,United States,Belgium,3-0,group stage,1930-07-13 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1930-03,Yugoslavia,Brazil,2-1,group stage,1930-07-14 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1930-04,Romania,Peru,3-1,group stage,1930-07-14 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1930-05,Argentina,France,1-0,group stage,1930-07-15 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1930-06,Chile,Mexico,2-1,group stage,1930-07-16 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1930-07,Yugoslavia,Bolivia,4-0,group stage,1930-07-17 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1930-08,United States,Paraguay,3-0,group stage,1930-07-17 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1930-09,Uruguay,Peru,1-0,group stage,1930-07-18 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1930-10,Chile,France,1-0,group stage,1930-07-19 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1930-11,Argentina,Mexico,6-3,group stage,1930-07-19 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1930-12,Brazil,Bolivia,4-0,group stage,1930-07-20 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1930-13,Paraguay,Belgium,1-0,group stage,1930-07-20 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1930-14,Uruguay,Romania,4-0,group stage,1930-07-21 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1930-15,Argentina,Chile,3-1,group stage,1930-07-22 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1930-16,Argentina,United States,6-1,semi-finals,1930-07-26 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1930-17,Uruguay,Yugoslavia,6-1,semi-finals,1930-07-27 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1930-18,Uruguay,Argentina,4-2,final,1930-07-30 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1934-01,Austria,France,1-1,round of 16,1934-05-27 00:00:00+00:00,True,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
